trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-90.17798339051188,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-86.24835904334587,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-115.57916976466186,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,2,-115.72736621452019,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-116.58482884046725,"{0: 18, 1: 0, 2: 3, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-101.36487290390221,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-13.444198784652494,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-85.18752924079416,"{0: 28, 1: 0, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,18,-13.2300445454043,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-96.53124351791116,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-74.49117154491452,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-140.71858457003736,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,3,2.3565012304526176,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,1.4392323465913779,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,7,24.929258757415333,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,8,-22.614099695058933,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-20.30113578462465,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,3,-4.990157379883096,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-14.380783298513714,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,1,27.562029847942433,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,17,23.186263878084556,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,25.34017737082085,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,12,32.1249975522317,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,8,17.520336721431548,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,17,17.201069741150448,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,10,23.43168291547194,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,0,16.87265813645793,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,18.62016725608438,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,28.796644621473757,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,10,27.35819044717182,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
