trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-200.99622699860782,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.60434593636106,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.82296563461689,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-242.0104336389194,"{0: 12, 1: 0, 2: 8, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.8177179159777,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.55763477647916,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-227.98929043053315,"{0: 16, 1: 0, 2: 10, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.6351232263555,"{0: 12, 1: 0, 2: 10, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.5807764233111,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.54926261338696,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-177.55989613642495,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.47814708896199,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.27252542266416,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.56505384866742,"{0: 13, 1: 0, 2: 10, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.23914493285827,"{0: 13, 1: 0, 2: 9, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.28630473800398,"{0: 10, 1: 0, 2: 9, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.42599538118725,"{0: 19, 1: 0, 2: 8, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.20688460131147,"{0: 13, 1: 0, 2: 2, 3: 4, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,8,-127.99141788456917,"{0: 9, 1: 0, 2: 6, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.90495577533986,"{0: 13, 1: 0, 2: 9, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-257.44036665499544,"{0: 6, 1: 0, 2: 10, 3: 0, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,12,-192.74689431325962,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 3}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.54719305271465,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,2,-124.6799037881621,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 2}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.95897406061417,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.57947576243672,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.14387245754148,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-177.77495536208139,"{0: 19, 1: 0, 2: 8, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-204.6650625320023,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-156.43839006862487,"{0: 16, 1: 0, 2: 13, 3: 0, 4: 1}",0
